meloeiro	(fruta)
cardo_de_coalho	(legume verdura hortaliça vegetal)
Metralha	(munição munição_de_guerra)
Decocção	(extracção)
brâman	(bovinos)
Outubro	(mês_no_calendário_gregoriano)
Lintel	(viga trave)
convidado	(visita visitante)
inclinar_se	(gesticular virar-se virar estar ser)
reeleger	(nomear designar escolher eleger)
CAPEX	(preço custo gastos custos)
patisseria	(padaria)
explicação	(explanação ideia descrição declaração Descrição acto_de_fala
            Atos_da_fala)
elétron	(lépton Léptons)
fauna	(vida montão colecção ruma chusma coleção grupo acúmulo aglomeração)
brecha	(ambiguidade vão ambigüidade fenda)
peregrinar	(viajar fazer_passar)
Línguas_balto-eslávicas	(línguas_indo-europeias Línguas_indo-européias)
Dalai_lama	(lama Lamas Lama)
eclodir	(nascer vir_ao_mundo procriar reproduzir gerar)
baldes_do_lixo	(contentores balde tonel)
neblina	(bruma ambiente atmosfera aerossóis aerossol Aerossol nevoeiro névoa
         nuvem)
acume	(astucidade sagacidade astúcia)
juntar-se	(reunir unificar)
Ergotamina	(alcalóide)
sentenciar	(declarar)
Campanha_eleitoral	(causa campanha)
Organza	(pano têxteis fazenda tecido tecido_têxtil)
coalhada	(lacticínio Lacticínios laticínio Laticínios produto_lácteo)
guiar	(deslocar levar salvar governar reger mover defender salvaguardar guardar
       conduzir carregar dirigir canalizar)
simulador_de_vôo	(simulador)
ponta	(convexidade parte traseiro Desportistas atleta tomo pedaço porção secção)
pinça_hemostática_curva_com_dentes	(fórceps)
Guetos	(bairro)
niquelar	(laminar banhar chapar)
disartria	(Distúrbio_da_fala)
equivalência	(status posição classe condição estado)
equilíbrio_químico	(reação_química Reações_químicas reacções_químicas
                    Reação_Química)
Doença_de_descompressão	(enjoo doença nausea enfermidade)
recomendação	(loa proposta louvor glória elogio assessoramento conselho)
bemol	(Notacao_musical notação_musical Notação_musical)
emissão	(estoque fornecimento abastecimento materiais espectáculo show)
minar	(reforçar fluir explorar correr)
Dama_de_companhia	(Lady)
ator_principal	(intérprete artista actor ator)
Fitoquímica	(Química substância_química substância substâncias_químicas)
urbanizações	(estado Estado situação condição)
Unificação_ou_Morte	(Crime_organizado crime_organizado)
Agradecimento	(aceitação)
Ângulo_complementar	(Ângulos ângulo)
porte_postal	(preço custo preços)
atitude	(compreensão cognição noção conhecimento)
ansiedade	(ânsia preocupação emoção abalo comoção sentimento)
osteíte	(inflamação)
Endoscopia	(inspecionar examinar)
Língua_proto-indo-européia	(línguas_indo-europeias Línguas_indo-européias)
desativação	(conclusão termino)
Torah	(rolo pergaminho)
micela	(Partícula_subatômica partícula Partícula_subatómica partículas_sólidas
        partículas)
zigurate	(templo)
Arquitetura_bizantina	(Estilos_arquitectónicos Estilo_arquitetônico
                       Estilo_arquitetónico Estilos_arquitetónicos)
ponto_de_orvalho	(temperatura calor Temperatura temperatura_do_ar)
camada_do_ozono	(estrato camada)
letra_maiúscula	(letra grafema)
Horário_Nobre	(hora)
Ectrodactilia	(anormalidade)
Eukaryota	(criatura organismo ser)
shareware	(programa software)
conjunto_de_caracteres	(lista_numerada lista listagem)
agitar	(acender menear anunciar mostrar apresentar expor exibir publicitar
        promover divulgar excitar mexer perturbar disturbar mover deslocar)
mantissa	(fração fracção)
etmoide	(osso)
duplicidade	(engano)
ar-condicionado	(arrefecimento esfriamento refrigeração)
varejista	(revendedor distribuidor comerciante mercador negociante)
vaso_sanguíneo	(vaso)
indulgência	(tolerância absolvição gratificação)
Ano_Novo	(ano)
facilidade	(atributos habilidade qualidade)
Jurisprudência	(Direito_civil direito_romano-germânico direito_civil)
Peptídeos	(Amidas amida)
imperador	(monarca suserano borboleta-monarca)
savana	(prados_naturais prado pradaria)
Tenores	(voz)
base_de_conhecimento	(objecto_mental)
Arada	(implemento ferramenta instrumento instrumento_musical)
sapata	(restrição limitação)
fado	(acontecimento evento ocorrência)
gaiola	(restrição limitação jaula)
rebatida	(realização proeza façanha feito)
washingtoniano	(estado-unidense norte-americano)
bônus	(pagamento recompensa)
autodestruir	(destruir)
dilapidar	(destruir gastar despender)
recantar	(repudiar renunciar)
amarra	(controlo controle)
marcador	(numeral_cardinal número)
Apóstolos	(estudante adepto discípulo seguidor aluno apóstolo Cristãos cristão
           cristã Cristão)
pausar	(interromper parar)
exotoxina	(toxinas Toxinas toxina)
Relevo_oceânico	(leito fundo)
Dor_do_membro_fantasma	(ilusão)
regenerar	(aperfeiçoar provocar ampliar recriar renovar melhorar progredir
           aumentar criar realizar construir causar alterar mudar modificar)
escorar	(prender segurar suster sustentar suportar fixar)
tamborete	(assento cadeira)
tectónica_de_placas	(geomorfologia morfologia Geomorfologia)
esverdear	(colorir descolorir)
romance	(literatura livros relacionamento Ficção ficcionismo ficção relação
         livro)
moicano	(Línguas_algonquinas iroqueses iroquês iroquesa línguas_algonquinas)
torta	(pastel)
Calçados	(cobertura capa)
Craniata	(filo Filo)
edredom	(edredon coberta colcha)
Dia_de_Finados	(feriado_religioso_cristão)
Ilhas_Egéias	(ilha)
Gestalt	(Teorias_científicas)
desfigurar	(avariar deteriorar estragar danificar)
rever	(reorganizar relembrar examinar lembrar-se recordar recordar-se lembrar
       analizar escrever_novamente reescrever)
inversão_de_rota	(reorientação)
erro	(mal mal-entendido opinião ideia conceito pensamento idéia imperfeição
      defeito insucesso fracasso Maldade maldade equívoco falha engano)
Registrador_de_Deslocamento	(registro registrador)
Hallux_valgus	(inchamento turgidez inchação)
graduação	(classe hierarquia posição posto)
coentro	(condimento erva tempero aromatizantes maconha)
inegibilidade	(qualificação)
antecessor	(parente)
preparar	(ensinar fabricar educar aprontar provocar criar realizar causar
          construir confeccionar alterar mudar modificar)
fiador	(doador)
Fator_de_crescimento	(proteína Proteínas proteínas Proteina)
estrela_múltipla	(estrela)
manancial	(fonte lugar procedência nascente raiz prosedensia)
Tubérculo	(caule tronco)
cruzes	(impressão emoção sentimento)
Viburnum_lantana	(arbustos arbusto moita mato arvoreta)
garotar	(brincar jogar)
descuido	(equívoco ausência falha erro engano perda derrota)
Raça_superior	(linhagem raças_humanas povo raça)
férias	(temporada ócio lazer tempos_livres período etapa estações_(clima)
        estação tempo)
lista_de_reprodução	(lista_numerada lista listagem)
batismo	(sacramento)
granizar	(precipitar cair)
olhadela	(olhar olhada)
encontro	(convergência _hora_marcada assembléia compromisso reunião)
ter_tempestade	(ventar soprar)
pedómetro	(Instrumento_de_medida metro instrumentos_de_medição
           Instrumentos_de_medida)
Circuitos_integrados	(circuito_do_computador)
dar_de_aluguel	(emprestar prestar)
engenheiro_aeroespacial	(engenheiro)
munição	(equipamento arma equipamento_militar armamento munição_de_guerra)
numerologia	(terreno campo disciplina domínio)
óleo_de_rícino	(laxante)
tempo_cósmico	(espaço_temporal tempo)
discoteca	(salão_de_baile)
amora-branca-silvestre	(framboesa)
aipo_hortense	(legume verdura hortaliça vegetal)
Lei_de_Ohm	(lei)
navio_almirante	(barco navios embarcação navio)
trepada	(relação_sexual coito cópula Relação_sexual_humana)
Glicocorticoide	(Corticosteróide Corticosteroide hormona hormônio Hormônios)
eugenia	(ciências_da_vida)
lupanar	(prédio edifício)
diligência	(determinação empenho resolução esforço)
cândida	(Candidiase candidíase)
20/20	(acuidade_visual)
treonina	(aminoácido_essencial)
hidrofobia	(sintoma Zoonoses zoonose)
torre	(peça_de_xadrez edifício tecido estrutura)
diapiro	(formação_geológica formação)
barraquinha	(bancas estande banca)
regozijo	(alegria)
garoto	(menino macho varão homem infante rapaz moço criança)
relação_analógica	(raciocínio Inferência inferência dedução)
penso	(atadura _curativo)
ruiva	(alma indivíduo ser_humano alguém pessoa)
Genius_Loci	(anjo_da_guarda Anjos_da_guarda Anjos_da_Guarda)
ácido_perclórico	(Ácidos ácidos ácido)
vedar	(fechar cerrar)
efeito_de_estufa	(fenômeno_atmosférico)
serenata	(Composição_Musical canção cantiga Composição_musical)
recarregar	(carregar)
iodo	(antisséptico halogênio tintura Tintura Halogénio Antissépticos
      antiséptico elemento_químico)
tergiversar	(enganar)
idiota	(imbecil alma indivíduo ser_humano alguém pessoa bobo tolo simplória
        estúpido simplório matarruano)
Reis_da_França	(rei)
realidade_virtual	(videogame videojogo vídeo_game jogo_de_vídeo)
Bola_de_ténis	(bola)
Revelação_divina	(informação)
falácia	(mal-entendido erro)
ferida	(inchaço traumatismo lesão mal dano ferimentos)
resignar	(aceitar partir sair largar demitir-se quitar abandonar renunciar)
Carminativo	(droga_medicional droga_medicinal remédio medicamento
             produtos_farmacêuticos)
carregamento	(pão)
primazia	(importância)
meias-calças	(Collants)
adoçante	(tentação condimento tempero aromatizantes)
estrangeiro	(união pessoa_estranha alma república nação país turista viajante
             indivíduo ser_humano alguém pessoa)
rubificar	(vermelhar avermelhar)
hidrólogo	(geólogo)
proa	(frente)
Cumulus	(nuvem Nuvens nuvens)
Ama-de-leite	(babá)
espumar	(formar_bolhas borbulhar bolhadear)
Concílios_ecuménicos_católicos	(concílio)
Sistema_imunológico	(sistema)
despencar	(cair)
reivindicar	(afirmar jurar solicitar requisitar requerer pedir)
navio	(veículos veículo viatura embarcação Embarcações navios barco)
Abricó-do-pará	(pomares Árvore_frutífera)
Deão	(cardeal)
efeito_secundário	(fim efeito conseqüência resultado efeitos)
pilotar	(governar controlar operar dirigir canalizar)
Homónimo	(verbo palavra termo vocábulo)
Sistema_endócrino	(sistema)
Ácidos_graxos	(ácido_carboxílico Ácidos_carboxílicos)
ceia	(jantar repasto refeição)
Cypraea	(gastrópodes)
bater_as_botas	(tornar revoltar-se revoltar)
contabilista	(empresário)
diabetes_mellitus	(diabetes diabete)
teste_beta	(prova ensaio experiência)
apetrecho	(ferramenta aparelho aparato mecanismo instrumento dispositivo
           equipamento)
baterpalmas	(ruído)
drumlin	(monte amontoado)
Nervo_acessório	(Nervo_craniano Nervos_cranianos)
reconhecimento	(aceitação Compreensão aprovação discernimento aplauso
                compreensão memória)
impedimento	(engano obstáculo erro falha equívoco dificuldade problema acção
             ação ato feito)
bege	(chá_branco)
temperatura_do_ar	(propriedades_físicas propriedade_física)
confete	(papel Papel carta)
piromorfita	(minérios matéria_mineral minerais mineral)
terrorismo_do_estado	(terrorismo Terrorismo)
Força_aérea_real	(Força_Aérea)
psicose	(psicopata Psicopatia)
Retinopatia_diabética	(retinopatia)
debulhar	(agitar sacudir tremer)
Oratório	(Música_Erudita Música_Clássica)
Derme	(Estrato_geológico estrato)
Bolos	(fornada)
assassina	(criminoso fora-de-lei matador homicida assassino)
neodímio	(metal Metais metais)
Alho-porro	(legume verdura hortaliça vegetal)
perfume	(odores cheiro hálito odor)
meandro	(curva arco)
leniência	(tolerância)
potenciômetro	(divisor_de_tensão)
esfaquear	(lesionar lesar machucar ferir empurrar propulsionar)
embaixador	(embaixadora porta-voz diplomata serventuário funcionário
            servidor_público representante)
sopa	(prato)
crooner	(cantador cantor cantora vocalista)
fartar	(tomar consumir)
Prova_matemática	(Demonstrações evidência)
fazenda	(granja possessão quinta sítio quintas utensílio artefato produto
         objecto_posto_à_venda Bens mercadoria artigo bem propriedade trabalho
         laboratório locais_de_trabalho oficina emprego imóvel imobiliária)
eunoco	(varão macho homem)
estalo	(ruído choque)
distração	(diversão divertimento entreterimento entretenimento)
cunhar	(fabricar construir confeccionar)
melanoma	(câncer_de_pele)
cúpula	(grande_reunião_popular telhado teto reunião Reunião domo)
Carotenoides	(Fitoquímica Fitoquímicos pigmento Pigmentos Antioxidantes
              antioxidante)
floresta_tropical_húmida	(floresta floresta_húmida Florestas_húmidas
                          floresta_equatorial)
vegano	(vegetariano)
ânus	(Anatomia Anus parte_do_corpo orifício)
eosinofilia	(sintoma)
antibiótico	(Bactericida)
Pré-eclâmpsia	(toxemia)
antidoto	(produtos_farmacêuticos medicamento remédio terapia)
Neisseria_gonorrhoeae	(bactéria)
desbandar	(dispersar dissipar espalhar)
Anorexia_Nervosa	(anorexia Anorexia)
beijar	(mimosear dar_um_beijo acariciar afagar tocar bater)
Almofar	(capucha capuz)
Lápis_de_cor	(Instrumentos_de_escrita)
umapósooutro	(linha fila bicha)
pato-real	(pata Anatidae anás pato)
Wallabee	(canguru Macropodidae)
dorso_de_calçado	(cobertura capa)
medo_de_palco	(terror consternação temor medo susto)
omnipotência	(condição estado situação)
electrocardiograma	(grafo gráfico)
marcha_ré	(marcha engrenagem)
emenda	(descrição correção retificação declaração Descrição)
hidrocele_testicular	(doença bagunça transtorno distúrbio)
predestinar	(predeterminar)
champagne	(Vinho_espumante Vinhos_espumantes)
relação_de_grandeza	(relação conexão)
eunuco	(varão macho homem)
precipitação	(deslocamento tornar vento fenómenos_meteorológicos
              condições_meteorológicas tempo clima tempo_(meteorologia)
              movimento traslado revoltar-se revoltar)
genealogia	(clã terreno tribo família familia campo disciplina domínio)
Jun	(mês_no_calendário_gregoriano)
abacateiro	(pomares Árvore_frutífera)
propriedade_intelectual	(possessão propriedade)
ponto_de_ônibus	(parada ponto_final)
conto	(relato ficção ficcionismo Ficção literatura mentira falsidade história
       relatório estória)
radar	(Instrumento_de_medida metro instrumentos_de_medição
       Instrumentos_de_medida)
asa_de_frango	(porção asa)
raso	(massa_de_água oceano água Corpos_de_água corpo_de_água)
malmequer	(flor)
construção_verbal	(verbo)
Medline	(telefonia)
técnica	(método métodos metodo Método capacidade talento faculdade habilidade)
apontar	(mostrar direcionar orientação deformar situar posicionar mirar
         significar querer_dizer informar indicar)
apoderar	(privar)
asilo	(refúgio capa fronha edifício tecido estrutura)
autarquia	(independência liberdade)
topázio	(minérios matéria_mineral minerais mineral)
Tungstenio	(metal Metais metais)
Bens	(produto utensílio artefato)
a	(caracter letra caractér carácter)
impressora_matricial	(impressora)
Borough	(divisão_administrativa divisão_territorial distrito_administrativo)
